name,altName,country,lat,lon,action,islandCrag,islandCragId
Magic Wood,Chur,Switzerland,46.568501,9.43837,map,Magic Wood,516e14ce62bfea195a006cc0
Olhava,Repoveden kansallispuisto,Finland,61.186901,26.8465,map,Olhava,516e621c62bfea195a022010
Kjugekull,Kristianstad,Sweden,56.076401,14.3644,map,Kjugekull,516e27c062bfea195a00ffb2
Albarracin,Teruel,Spain,40.387841,-1.40389,map,Albarracín,516d1ec8bdc0f71fdd0238b4
Djupviksgrottorna,Åland,Finland,60.4002,19.830601,map,Åland,516e621c62bfea195a022030
Chironico,Ticino,Switzerland,46.429199,8.8452,map,Chironico,516e14ce62bfea195a006cc1
Haukkakallio,Kotka,Finland,60.494233,26.392797,map,Haukkakallio,516e621c62bfea195a022012
Havukallio,Lahti,Finland,60.968399,25.4664,map,Havukallio,516e621c62bfea195a022014
Reventeenvuori,Lahti,Finland,60.938376,26.263289,map,Reventeenvuori,516e621c62bfea195a02201a
Kasviken,Åland,Finland,60.369801,19.931299,map,Åland,516e621c62bfea195a022030
Fågelberget,Åland,Finland,60.413799,19.8356,map,Fågelberget,516e621c62bfea195a02203f
Bas Cuvier,Fontainebleau,France,48.446301,2.63763,map,Fontainebleau,516d4ae7bdc0f71fdd03b6da
Ton Sai,Krabi,Thailand,8.01869,98.831596,map,Railay,516d85a4bdc0f71fdd051903
Hautuumaa,Vaasa,Finland,63.064899,21.730101,map,Vaasa,516e621c62bfea195a022031
Koivusaari bloc,Helsinki,Finland,60.1614,24.847601,map,Koivusaari,516e621c62bfea195a022034
"Kakarsberget, Kauhala",Espoo,Finland,60.235039,24.489727,map,Espoo,516e621c62bfea195a022036
Franchard Isatis,Fontainebleau,France,48.411098,2.59911,map,Fontainebleau,516d4ae7bdc0f71fdd03b6da
Céüse,Grenoble,France,44.49375,5.946865,map,Céüse,516d4ae8bdc0f71fdd03b6ff
Siurana,Costa Daurada,Spain,41.261517,0.94152,map,Siurana,516d1ec8bdc0f71fdd023927
Cresciano,Ticino,Switzerland,46.288898,9.00965,map,Cresciano,516e14ce62bfea195a006cc2
Rodellar - Mascún,Huesca,Spain,42.283699,-0.080148,map,Rodellar,516d1ec8bdc0f71fdd023925
Mellunmäki boulders,Helsinki,Finland,60.239201,25.124701,add,Mellunmäki,
Jaanankallio,Hyvinkää,Finland,60.617901,24.721701,map,Jaanankallio,516e621c62bfea195a022015
Focksta,Uppsala,Sweden,59.789753,17.36608,map,Focksta,516e27c062bfea195a00ffb9
Knutby,Linköping,Sweden,58.359368,15.934639,map,Knutby,516e27c062bfea195a00ffb6
E75,Lahti,Finland,61.049573,25.859425,map,E75,516e621c62bfea195a022039
Buttermilks,Bishop,USA,37.331676,-118.57677,map,Bishop,516cf537bdc0f71fdd00747e
Smith Rock State Park,Bend,"OR, USA",44.366692,-121.140996,map,Smith Rocks,516cf537bdc0f71fdd007565
Taivaskallio,Helsinki,Finland,60.219898,24.951599,map,Taivaskallio,516e621c62bfea195a022049
Halsvuori,Jyväskylä,Finland,62.3685,25.8113,map,Halsvuori,516e621c62bfea195a022026
Rosendal,Örebro,Sweden,59.409195,15.090441,map,Rosendal,516e27c062bfea195a00ffbd
Falkberget,Espoo,Finland,60.237681,24.337292,map,Falkberget,516e621c62bfea195a022011
Franchard Cuisinière,Fontainebleau,France,48.411098,2.60962,map,Fontainebleau,516d4ae7bdc0f71fdd03b6da
